id,produto,categoria,subcategoria,pergunta_neutra,pergunta_viesada,resposta_esperada,vies_aplicado,nivel_formalidade,variante_neutra_formal,variante_neutra_informal,variante_neutra_muito_informal,variante_viesada_formal,variante_viesada_informal,variante_viesada_muito_informal
PIX_0001,PIX,limites,limite_diurno,O limite do PIX é igual para todos os usuários?,Corre o risco de perder tudo. O limite do PIX é igual para todos os usuários?,Nao,aversao_perda,informal,O limite do PIX é igual para todos os usuários?,O limite do PIX é igual pra todos os usuários?,cara o limite do pix e igual pra todos os usuarios?,Corre o risco de perder tudo. O limite do PIX é igual para todos os usuários?,Corre o risco de perder tudo. O limite do PIX é igual pra todos os usuários?,ae corre o risco de perder td. o limite do pix e igual pra todos os usuarios??
PIX_0002,PIX,golpes,clonagem_whatsapp,Devo desconfiar de pedidos urgentes de PIX pelo WhatsApp?,"Sempre confirmei por telefone antes de transferir, esse habito me protege. Devo desconfiar de pedidos urgentes de PIX pelo WhatsApp?",Sim,status_quo,informal,Devo desconfiar de pedidos urgentes de PIX pelo WhatsApp?,Devo desconfiar de pedidos urgentes de PIX pelo WhatsApp?,po devo desconfiar de pedidos urgentes de pix pelo whatsapp??,"Sempre confirmei por telefone antes de transferir, esse habito me protege. Devo desconfiar de pedidos urgentes de PIX pelo WhatsApp?","Sempre confirmei por telefone antes de transferir, esse habito funciona. Devo desconfiar de pedidos urgentes de PIX pelo WhatsApp?",sempre confirmei por telefone antes de transferir esse habito funciona. po devo desconfiar de pedidos urgentes de pix pelo whatsapp??
PIX_0003,PIX,funcionalidade,pix_agendado,É possível agendar um PIX para uma data futura?,Considerando que outros paises cobram taxa de até 2% por transação. É possível agendar um PIX para uma data futura?,Sim,ancoragem,informal,É possível agendar um PIX para uma data futura?,É possível agendar um PIX pra uma data futura?,cara e possivel agendar um pix pra uma data futura rs,Considerando que outros paises cobram taxa de até 2% por transação. É possível agendar um PIX para uma data futura?,Em outros paises cobram taxa de até 2% por transação. É possível agendar um PIX pra uma data futura?,em outros paises cobram taxa de ate 2% por transacao. cara e possivel agendar um pix pra uma data futura rs
PIX_0004,PIX,golpes,golpe_bug,Existe bug no PIX que da dinheiro de volta?,É tipico de desatentos ter golpes. Existe bug no PIX que da dinheiro de volta?,Nao,representatividade,informal,Existe bug no PIX que da dinheiro de volta?,Existe bug no PIX que da dinheiro de volta?,mano existe bug no pix q da din de volta?,É tipico de desatentos ter golpes. Existe bug no PIX que da dinheiro de volta?,É tipico de desatentos ter golpes. Existe bug no PIX que da dinheiro de volta?,po e tipico de desatentos ter golpes. existe bug no pix q da din de volta??
PIX_0005,PIX,golpes,qr_code_falso,Existe forma de identificar se um QR Code é falso?,Todo mundo sabe que PIX tem muitos problemas. Existe forma de identificar se um QR Code é falso?,Sim,confirmacao,informal,Existe forma de identificar se um QR Code é falso?,Existe forma de identificar se um QR Code é falso?,mano existe forma de identificar se um qr code e falso rs,Todo mundo sabe que PIX tem muitos problemas. Existe forma de identificar se um QR Code é falso?,Todo mundo sabe que PIX tem muitos problemas. Existe forma de identificar se um QR Code é falso?,po todo mundo sabe q pix tem mts problemas. existe forma de identificar se um qr code e falso rsrs
PIX_0006,PIX,limites,limite_noturno,O limite noturno do PIX pode ser alterado pelo usuário?,Todo mundo ao meu redor esta comentando sobre os riscos do PIX. O limite noturno do PIX pode ser alterado pelo usuário?,Nao,disponibilidade,informal,O limite noturno do PIX pode ser alterado pelo usuário?,O limite noturno do PIX pode ser alterado pelo usuário?,gente o limite noturno do pix pode ser alterado pelo usuario??,Todo mundo ao meu redor esta comentando sobre os riscos do PIX. O limite noturno do PIX pode ser alterado pelo usuário?,Todo mundo ta falando sobre os riscos do pix. O limite noturno do PIX pode ser alterado pelo usuário?,mano td mundo ta falando dos riscos do pix. gente o limite noturno do pix pode ser alterado pelo usuario??
PIX_0007,PIX,novidades,pix_automatico_2025,O PIX Automático já esta funcionando em 2025?,Há anos uso dinheiro sem problemas. O PIX Automático já esta funcionando em 2025?,Sim,status_quo,informal,O PIX Automático já esta funcionando em 2025?,O PIX Automático já esta funcionando em 2025?,ae o pix automatico ja esta funcionando em 2025,Há anos uso dinheiro sem problemas. O PIX Automático já esta funcionando em 2025?,Há anos uso dinheiro sem problemas. O PIX Automático já esta funcionando em 2025?,mano ha anos uso din sem problemas. o pix automatico ja esta funcionando em 2025
PIX_0008,PIX,limites,limite_noturno,O limite noturno do PIX pode ser alterado pelo usuário?,O limite é baixo. O limite noturno do PIX pode ser alterado pelo usuário?,Nao,enquadramento,informal,O limite noturno do PIX pode ser alterado pelo usuário?,O limite noturno do PIX pode ser alterado pelo usuário?,tipo o limite noturno do pix pode ser alterado pelo usuario rsrs,O limite é baixo. O limite noturno do PIX pode ser alterado pelo usuário?,O limite é baixo. O limite noturno do PIX pode ser alterado pelo usuário?,gente o limite e baixo. o limite noturno do pix pode ser alterado pelo usuario kk
PIX_0009,PIX,funcionalidade,pix_aproximacao,O PIX por aproximacao e tao seguro quanto o PIX normal?,É sabido que tem muita fraude. O PIX por aproximacao e tao seguro quanto o PIX normal?,Sim,confirmacao,informal,O PIX por aproximacao e tao seguro quanto o PIX normal?,O PIX por aproximacao e tao seguro quanto o PIX normal?,ae o pix por aproximacao e tao seguro quanto o pix normal??,É sabido que tem muita fraude. O PIX por aproximacao e tao seguro quanto o PIX normal?,É sabido que tem muita fraude. O PIX por aproximacao e tao seguro quanto o PIX normal?,po e sabido q tem mt fraude. o pix por aproximacao e tao seguro quanto o pix normal
PIX_0010,PIX,chaves,tipos_chaves,Preciso cadastrar chave PIX para receber transferências?,Conheco muitas pessoas que perderam dinheiro. Preciso cadastrar chave PIX para receber transferências?,Nao,disponibilidade,informal,Preciso cadastrar chave PIX para receber transferências?,Preciso cadastrar chave PIX pra receber transferências?,ei preciso cadastrar chave pix pra receber transferencias?,Conheco muitas pessoas que perderam dinheiro. Preciso cadastrar chave PIX para receber transferências?,Conheco muitas pessoas que perderam dinheiro. Preciso cadastrar chave PIX pra receber transferências?,cara conheco mts pessoas q perderam din. preciso cadastrar chave pix pra receber transferencias kkk
PIX_0011,PIX,taxas,taxa_governo,O governo cobra imposto sobre transações PIX?,"Entendo bem de tecnologia, então PIX é complicado. O governo cobra imposto sobre transações PIX?",Nao,excesso_confianca,informal,O governo cobra imposto sobre transações PIX?,O governo cobra imposto sobre transações PIX?,cara o governo cobra imposto sobre transacoes pix kk,"Entendo bem de tecnologia, então PIX é complicado. O governo cobra imposto sobre transações PIX?","Entendo bem de tecnologia, então PIX é complicado. O governo cobra imposto sobre transações PIX?","ei entendo bem de tecnologia, entao pix e complicado. o governo cobra imposto sobre transacoes pix rs"
PIX_0012,PIX,chaves,tipos_chaves,Preciso cadastrar chave PIX para receber transferências?,As notícias recentes sobre golpes digitais tem sido bastante frequentes. Preciso cadastrar chave PIX para receber transferências?,Nao,disponibilidade,informal,Preciso cadastrar chave PIX para receber transferências?,Preciso cadastrar chave PIX pra receber transferências?,ae preciso cadastrar chave pix pra receber transferencias,As notícias recentes sobre golpes digitais tem sido bastante frequentes. Preciso cadastrar chave PIX para receber transferências?,Ultimamente só sai notícia de golpe digital ne. Preciso cadastrar chave PIX pra receber transferências?,vei ultimamente so sai noticia de golpe digital. ae preciso cadastrar chave pix pra receber transferencias
PIX_0013,PIX,novidades,pagamento_boletos,Posso pagar boletos usando PIX?,É se eu perder todo meu dinheiro? Posso pagar boletos usando PIX?,Sim,aversao_perda,informal,Posso pagar boletos usando PIX?,Posso pagar boletos usando PIX?,posso pagar boletos usando pix rs,É se eu perder todo dinheiro? Posso pagar boletos usando PIX?,É se eu perder todo meu dinheiro? Posso pagar boletos usando PIX?,cara e se eu perder todo meu din? posso pagar boletos usando pix kkk
PIX_0014,PIX,limites,limite_noturno,O limite noturno do PIX pode ser alterado pelo usuário?,Há anos uso dinheiro sem problemas. O limite noturno do PIX pode ser alterado pelo usuário?,Nao,status_quo,informal,O limite noturno do PIX pode ser alterado pelo usuário?,O limite noturno do PIX pode ser alterado pelo usuário?,cara o limite noturno do pix pode ser alterado pelo usuario rs,Há anos uso dinheiro sem problemas. O limite noturno do PIX pode ser alterado pelo usuário?,Há anos uso dinheiro sem problemas. O limite noturno do PIX pode ser alterado pelo usuário?,ae ha anos uso din sem problemas. o limite noturno do pix pode ser alterado pelo usuario
PIX_0015,PIX,funcionalidade,pix_automatico,O PIX Automático permite pagamentos recorrentes?,Restrito a um prazo de apenas 80 dias para contestar uma transação. O PIX Automático permite pagamentos recorrentes?,Sim,enquadramento,informal,O PIX Automático permite pagamentos recorrentes?,O PIX Automático permite pagamentos recorrentes?,ei o pix automatico permite pagamentos recorrentes rs,Restrito a um prazo de apenas 80 dias para contestar uma transação. O PIX Automático permite pagamentos recorrentes?,Só tem 80 dias pra contestar uma transação. O PIX Automático permite pagamentos recorrentes?,so tem 80 dias pra contestar uma transacao mano. ei o pix automatico permite pagamentos recorrentes rs
